angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.06,,[ 70  16 145 145],,0.0,,0.49,,0.0,,0.02,,0.07,,0.36,
0.08,,[ 72  17 143 143],,0.0,,0.54,,0.0,,0.02,,0.12,,0.24,
0.03,,[ 69  18 143 143],,0.0,,0.34,,0.0,,0.02,,0.06,,0.54,
0.03,,[ 68  17 145 145],,0.0,,0.47,,0.0,,0.02,,0.07,,0.41,
0.07,,[ 71  18 142 142],,0.0,,0.56,,0.0,,0.05,,0.15,,0.17,
0.06,,[ 71  18 139 139],,0.0,,0.55,,0.0,,0.05,,0.22,,0.13,
0.08,,[ 75  20 135 135],,0.0,,0.49,,0.0,,0.07,,0.22,,0.14,
0.07,,[ 75  20 135 135],,0.0,,0.49,,0.0,,0.07,,0.21,,0.16,
0.05,,[ 74  19 138 138],,0.0,,0.51,,0.0,,0.05,,0.14,,0.26,
0.08,,[ 72  19 137 137],,0.0,,0.42,,0.0,,0.05,,0.31,,0.13,
0.04,,[ 73  18 138 138],,0.0,,0.54,,0.0,,0.03,,0.24,,0.15,
0.13,,[ 72  17 141 141],,0.0,,0.49,,0.0,,0.03,,0.32,,0.03,
0.12,,[ 72  17 141 141],,0.0,,0.54,,0.0,,0.02,,0.28,,0.03,
0.07,,[ 72  16 143 143],,0.0,,0.62,,0.0,,0.02,,0.24,,0.04,
0.11,,[ 76  19 136 136],,0.0,,0.49,,0.0,,0.02,,0.27,,0.1,
0.09,,[ 77  20 135 135],,0.0,,0.46,,0.0,,0.07,,0.23,,0.16,
0.08,,[ 78  21 132 132],,0.0,,0.44,,0.0,,0.07,,0.22,,0.2,
0.05,,[ 74  18 140 140],,0.0,,0.42,,0.0,,0.03,,0.11,,0.39,
0.06,,[ 74  19 136 136],,0.0,,0.4,,0.0,,0.05,,0.29,,0.21,
0.07,,[ 78  20 132 132],,0.0,,0.48,,0.0,,0.06,,0.2,,0.19,
0.05,,[ 76  18 137 137],,0.0,,0.58,,0.0,,0.02,,0.11,,0.23,
0.04,,[ 77  18 135 135],,0.0,,0.66,,0.0,,0.03,,0.13,,0.14,
0.04,,[ 75  17 139 139],,0.0,,0.6,,0.0,,0.02,,0.07,,0.27,
0.02,,[ 71  14 142 142],,0.0,,0.7,,0.0,,0.01,,0.09,,0.18,
0.03,,[ 75  16 140 140],,0.0,,0.61,,0.0,,0.02,,0.1,,0.24,
0.04,,[ 74  15 142 142],,0.0,,0.6,,0.0,,0.02,,0.15,,0.18,
0.05,,[ 68  13 145 145],,0.0,,0.66,,0.0,,0.02,,0.15,,0.11,
0.15,,[ 76  19 136 136],,0.09,,0.28,,0.0,,0.01,,0.07,,0.4,
0.06,,[ 75  18 142 142],,0.01,,0.72,,0.0,,0.01,,0.12,,0.08,
0.07,,[ 74  18 141 141],,0.01,,0.65,,0.0,,0.01,,0.13,,0.13,
0.05,,[ 76  18 141 141],,0.0,,0.77,,0.0,,0.01,,0.08,,0.1,
0.15,,[ 74  23 134 134],,0.0,,0.29,,0.0,,0.05,,0.5,,0.01,
0.16,,[ 78  23 136 136],,0.0,,0.2,,0.0,,0.06,,0.55,,0.02,
0.17,,[ 80  21 140 140],,0.0,,0.17,,0.0,,0.11,,0.53,,0.01,
0.17,,[ 82  22 137 137],,0.0,,0.25,,0.0,,0.13,,0.42,,0.02,
0.13,,[ 83  21 139 139],,0.0,,0.17,,0.0,,0.24,,0.46,,0.0,
0.14,,[ 82  20 140 140],,0.0,,0.16,,0.0,,0.27,,0.42,,0.0,
0.1,,[ 86  21 140 140],,0.0,,0.25,,0.0,,0.25,,0.39,,0.01,
0.14,,[ 87  23 136 136],,0.0,,0.3,,0.0,,0.18,,0.36,,0.01,
0.05,,[ 92  21 138 138],,0.0,,0.74,,0.0,,0.04,,0.11,,0.06,
0.05,,[147  82  64  64],,0.01,,0.19,,0.05,,0.12,,0.35,,0.23,
0.03,0.07,[147  82  63  63],[103  26 130 130],0.01,0.0,0.17,0.72,0.08,0.0,0.07,0.05,0.28,0.11,0.35,0.05
0.04,,[149  82  65  65],,0.0,,0.14,,0.03,,0.03,,0.34,,0.41,
0.13,,[146  80  71  71],,0.01,,0.15,,0.01,,0.06,,0.6,,0.04,
0.09,0.09,[151  84  64  64],[114  33 112 112],0.01,0.01,0.31,0.44,0.03,0.0,0.03,0.05,0.37,0.4,0.15,0.01
0.1,,[150  85  61  61],,0.02,,0.23,,0.13,,0.06,,0.2,,0.27,
0.05,,[104  26 134 134],,0.0,,0.51,,0.0,,0.13,,0.3,,0.01,
0.04,,[105  26 132 132],,0.0,,0.6,,0.0,,0.1,,0.26,,0.01,
0.12,0.09,[153  81  64  64],[109  29 126 126],0.0,0.0,0.3,0.5,0.14,0.0,0.23,0.14,0.13,0.26,0.08,0.0
0.13,,[153  80  65  65],,0.0,,0.31,,0.16,,0.25,,0.11,,0.05,
0.1,,[148  79  68  68],,0.01,,0.2,,0.04,,0.16,,0.29,,0.19,
0.07,0.09,[104  23 132 132],[148  79  67  67],0.0,0.01,0.73,0.17,0.0,0.03,0.02,0.16,0.15,0.32,0.03,0.22
0.12,0.05,[149  80  65  65],[106  25 130 130],0.02,0.0,0.23,0.64,0.04,0.0,0.17,0.11,0.29,0.19,0.12,0.01
0.14,0.05,[149  80  66  66],[102  23 134 134],0.03,0.0,0.2,0.63,0.04,0.0,0.16,0.06,0.39,0.24,0.05,0.01
0.19,0.06,[157  81  61  61],[101  22 135 135],0.03,0.0,0.23,0.43,0.17,0.0,0.12,0.16,0.17,0.34,0.09,0.0
